Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,41,3280,80,0.376,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,0,0,NaN,0,NaN,0
10,0,0,NaN,0,NaN,0
11,0,0,NaN,0,NaN,0
12,0,0,NaN,0,NaN,0
13,0,0,NaN,0,NaN,0
14,0,0,NaN,0,NaN,0
15,0,0,NaN,0,NaN,0
16,0,0,NaN,0,NaN,0
17,0,0,NaN,0,NaN,0
18,0,0,NaN,0,NaN,0
19,0,0,NaN,0,NaN,0
20,0,0,NaN,0,NaN,0
21,0,0,NaN,0,NaN,0
22,0,0,NaN,0,NaN,0
23,0,0,NaN,0,NaN,0
24,0,0,NaN,0,NaN,0
25,1,80,80,0.009,255,1
26,0,0,NaN,0,NaN,1
27,0,0,NaN,0,NaN,1
28,1,80,80,0.009,255,2
29,0,0,NaN,0,NaN,2
30,1,80,80,0.009,255,3
31,0,0,NaN,0,NaN,3
32,1,80,80,0.009,255,4
33,0,0,NaN,0,NaN,4
34,0,0,NaN,0,NaN,4
35,0,0,NaN,0,NaN,4
36,0,0,NaN,0,NaN,4
37,1,80,80,0.009,255,5
38,0,0,NaN,0,NaN,5
39,2,160,80,0.018,255,7
40,0,0,NaN,0,NaN,7
41,0,0,NaN,0,NaN,7
42,0,0,NaN,0,NaN,7
43,1,80,80,0.009,255,8
44,0,0,NaN,0,NaN,8
45,2,160,80,0.018,255,10
46,1,80,80,0.009,255,11
47,0,0,NaN,0,NaN,11
48,0,0,NaN,0,NaN,11
49,1,80,80,0.009,255,12
50,0,0,NaN,0,NaN,12
51,1,80,80,0.009,255,13
52,1,80,80,0.009,255,14
53,1,80,80,0.009,255,15
54,1,80,80,0.009,255,16
55,0,0,NaN,0,NaN,16
56,0,0,NaN,0,NaN,16
57,1,80,80,0.009,255,17
58,0,0,NaN,0,NaN,17
59,0,0,NaN,0,NaN,17
60,1,80,80,0.009,255,18
61,0,0,NaN,0,NaN,18
62,1,80,80,0.009,255,19
63,1,80,80,0.009,255,20
64,0,0,NaN,0,NaN,20
65,1,80,80,0.009,255,21
66,0,0,NaN,0,NaN,21
67,2,160,80,0.018,255,23
68,1,80,80,0.009,255,24
69,0,0,NaN,0,NaN,24
70,1,80,80,0.009,255,25
71,2,160,80,0.018,255,27
72,1,80,80,0.009,255,28
73,1,80,80,0.009,255,29
74,0,0,NaN,0,NaN,29
75,0,0,NaN,0,NaN,29
76,0,0,NaN,0,NaN,29
77,1,80,80,0.009,255,30
78,0,0,NaN,0,NaN,30
79,2,160,80,0.018,255,32
80,2,160,80,0.018,255,34
81,1,80,80,0.009,255,35
82,6,480,80,0.055,255,41
